Viewers;
Date;Primary
2025-10-31T00:00:00;1148
2025-11-01T00:00:00;762
2025-11-02T00:00:00;286
2025-11-03T01:00:00;277
2025-11-04T01:00:00;1068
2025-11-05T01:00:00;1011
2025-11-06T01:00:00;1010
2025-11-07T01:00:00;3776
2025-11-08T01:00:00;3094
2025-11-09T01:00:00;1959
2025-11-10T01:00:00;1364
2025-11-11T01:00:00;5654
2025-11-12T01:00:00;1162
2025-11-13T01:00:00;1212
2025-11-14T01:00:00;1071
2025-11-15T01:00:00;1256
2025-11-16T01:00:00;1737
2025-11-17T01:00:00;7204
2025-11-18T01:00:00;3850
2025-11-19T01:00:00;2583
2025-11-20T01:00:00;1765
2025-11-21T01:00:00;6207
2025-11-22T01:00:00;4487
2025-11-23T01:00:00;2081
2025-11-24T01:00:00;3800
2025-11-25T01:00:00;2698
2025-11-26T01:00:00;1857
2025-11-27T01:00:00;2955
2025-11-28T01:00:00;1916
2025-11-29T01:00:00;4394
2025-11-30T01:00:00;4177
2025-12-01T01:00:00;3934
2025-12-02T01:00:00;3861
2025-12-03T01:00:00;2917
2025-12-04T01:00:00;3421
2025-12-05T01:00:00;2019
2025-12-06T01:00:00;956
2025-12-07T01:00:00;423
2025-12-08T01:00:00;2862
2025-12-09T01:00:00;6824
2025-12-10T01:00:00;5569
2025-12-11T01:00:00;9053
2025-12-12T01:00:00;7849
2025-12-13T01:00:00;49184
2025-12-14T01:00:00;53233
2025-12-15T01:00:00;17556
2025-12-16T01:00:00;10811
2025-12-17T01:00:00;9471
2025-12-18T01:00:00;10290
2025-12-19T01:00:00;8232
2025-12-20T01:00:00;10339
2025-12-21T01:00:00;3813
2025-12-22T01:00:00;4707
2025-12-23T01:00:00;3253
2025-12-24T01:00:00;9037
2025-12-25T01:00:00;12601
2025-12-26T01:00:00;18050
2025-12-27T01:00:00;21967
2025-12-28T01:00:00;19793
2025-12-29T01:00:00;17902
2025-12-30T01:00:00;14122
2025-12-31T01:00:00;7449
