Views;
Date;Primary
2025-10-31T00:00:00;5213
2025-11-01T00:00:00;4216
2025-11-02T00:00:00;4594
2025-11-03T01:00:00;2699
2025-11-04T01:00:00;4916
2025-11-05T01:00:00;11767
2025-11-06T01:00:00;2002
2025-11-07T01:00:00;5660
2025-11-08T01:00:00;5324
2025-11-09T01:00:00;3197
2025-11-10T01:00:00;2869
2025-11-11T01:00:00;7937
2025-11-12T01:00:00;2661
2025-11-13T01:00:00;2728
2025-11-14T01:00:00;2213
2025-11-15T01:00:00;2906
2025-11-16T01:00:00;2988
2025-11-17T01:00:00;11362
2025-11-18T01:00:00;7353
2025-11-19T01:00:00;5405
2025-11-20T01:00:00;3621
2025-11-21T01:00:00;9444
2025-11-22T01:00:00;7439
2025-11-23T01:00:00;3801
2025-11-24T01:00:00;6561
2025-11-25T01:00:00;4407
2025-11-26T01:00:00;3270
2025-11-27T01:00:00;4683
2025-11-28T01:00:00;4471
2025-11-29T01:00:00;7098
2025-11-30T01:00:00;5564
2025-12-01T01:00:00;6903
2025-12-02T01:00:00;6677
2025-12-03T01:00:00;5179
2025-12-04T01:00:00;6138
2025-12-05T01:00:00;3846
2025-12-06T01:00:00;1773
2025-12-07T01:00:00;1156
2025-12-08T01:00:00;4669
2025-12-09T01:00:00;10646
2025-12-10T01:00:00;8629
2025-12-11T01:00:00;15311
2025-12-12T01:00:00;11668
2025-12-13T01:00:00;95903
2025-12-14T01:00:00;100338
2025-12-15T01:00:00;30011
2025-12-16T01:00:00;21316
2025-12-17T01:00:00;18298
2025-12-18T01:00:00;18114
2025-12-19T01:00:00;12854
2025-12-20T01:00:00;16659
2025-12-21T01:00:00;7178
2025-12-22T01:00:00;8851
2025-12-23T01:00:00;6062
2025-12-24T01:00:00;12756
2025-12-25T01:00:00;17166
2025-12-26T01:00:00;23943
2025-12-27T01:00:00;33208
2025-12-28T01:00:00;31178
2025-12-29T01:00:00;29419
2025-12-30T01:00:00;25289
2025-12-31T01:00:00;11947
