Facebook visits;
Date;Primary
2025-10-31T00:00:00;247
2025-11-01T00:00:00;119
2025-11-02T00:00:00;186
2025-11-03T01:00:00;118
2025-11-04T01:00:00;145
2025-11-05T01:00:00;223
2025-11-06T01:00:00;168
2025-11-07T01:00:00;243
2025-11-08T01:00:00;184
2025-11-09T01:00:00;84
2025-11-10T01:00:00;191
2025-11-11T01:00:00;162
2025-11-12T01:00:00;200
2025-11-13T01:00:00;244
2025-11-14T01:00:00;130
2025-11-15T01:00:00;128
2025-11-16T01:00:00;77
2025-11-17T01:00:00;334
2025-11-18T01:00:00;406
2025-11-19T01:00:00;345
2025-11-20T01:00:00;151
2025-11-21T01:00:00;195
2025-11-22T01:00:00;197
2025-11-23T01:00:00;163
2025-11-24T01:00:00;213
2025-11-25T01:00:00;133
2025-11-26T01:00:00;128
2025-11-27T01:00:00;162
2025-11-28T01:00:00;198
2025-11-29T01:00:00;184
2025-11-30T01:00:00;177
2025-12-01T01:00:00;269
2025-12-02T01:00:00;310
2025-12-03T01:00:00;186
2025-12-04T01:00:00;207
2025-12-05T01:00:00;141
2025-12-06T01:00:00;65
2025-12-07T01:00:00;70
2025-12-08T01:00:00;134
2025-12-09T01:00:00;160
2025-12-10T01:00:00;153
2025-12-11T01:00:00;298
2025-12-12T01:00:00;290
2025-12-13T01:00:00;397
2025-12-14T01:00:00;415
2025-12-15T01:00:00;256
2025-12-16T01:00:00;334
2025-12-17T01:00:00;257
2025-12-18T01:00:00;378
2025-12-19T01:00:00;255
2025-12-20T01:00:00;268
2025-12-21T01:00:00;204
2025-12-22T01:00:00;199
2025-12-23T01:00:00;269
2025-12-24T01:00:00;129
2025-12-25T01:00:00;145
2025-12-26T01:00:00;153
2025-12-27T01:00:00;268
2025-12-28T01:00:00;187
2025-12-29T01:00:00;306
2025-12-30T01:00:00;213
2025-12-31T01:00:00;120
